Address,2019 EUI,2020 EUI,2021 EUI,GFA,postal_code,plan_area
"101 KITCHENER ROAD, SINGAPORE 208511",115.49125840023788,105.73278620279511,103.3980808801665,16815.0,208511,KALLANG
"229 MOUNTBATTEN ROAD, SINGAPORE 398007",122.48567182165094,98.54848413336012,102.19678248644306,19916.0,398007,GEYLANG
"1A INTERNATIONAL BUSINESS PARK, SINGAPORE 609933",115.41546050984124,94.58699353933991,102.12136274853508,19967.0,609933,JURONG EAST
"28 BIOPOLIS ROAD, SINGAPORE138568",,,98.82670270816492,19792.0,138568,QUEENSTOWN
"25 INTERNATIONAL BUSINESS PARK, SINGAPORE 609916",112.88583899229444,99.25101122409485,97.49685725343936,28421.0,609916,JURONG EAST
"40 SCOTTS ROAD, SINGAPORE 228231",115.17754635768344,98.5969482466698,97.29451663572755,49021.0,228231,NEWTON
"1 BULIM DRIVE, SINGAPORE 648171",85.19478073628154,89.91481361426256,95.06562491317435,21595.0,648171,JURONG WEST
"31 INTERNATIONAL BUSINESS PARK, SINGAPORE 609921",112.11333441348023,99.7949449125081,94.69181788723266,61720.0,609921,JURONG EAST
"36 ROBINSON ROAD, SINGAPORE 068877",124.87134291377602,106.9221010901883,94.50590683845391,20180.0,068877,DOWNTOWN CORE
"1 NORTH BRIDGE ROAD, SINGAPORE 179094",111.43438581395353,92.42135860465116,93.93098860465116,43000.0,179094,DOWNTOWN CORE
"90 GOODMAN ROAD, SINGAPORE 439053",110.09991518603356,78.0920027239522,92.73106605584103,16153.0,439053,MARINE PARADE
"101 CECIL STREET, SINGAPORE 069533",113.90631923244659,93.80677714784127,92.2915686873092,22930.0,069533,DOWNTOWN CORE
"3 INTERNATIONAL BUSINESS PARK, SINGAPORE 609927",115.27527979420678,101.4332081189654,92.22593875537387,28378.0,609927,JURONG EAST
"101 JALAN BAHAR, SINGAPORE 649734",127.83785299662632,100.97822410200438,91.84981767215717,40312.0,649734,WESTERN WATER CATCHMENT
"51 BRAS BASAH ROAD, SINGAPORE 189554",158.11179533213644,87.86477558348294,85.96321364452423,27850.0,189554,MUSEUM
"20 MAXWELL ROAD, SINGAPORE 069113",109.56544918111754,93.26216221098265,85.707537933526,16608.0,069113,OUTRAM
